target_date,provider_id,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2025-12-01,central_tanshi,centraltanshi,1.0,30.2,-30.2,12/2,success,
2025-12-01,click365_okasan,クリック365,1.0,27.0,-27.0,None,success,
2025-12-01,gmo_click,gmoclick,1.0,31.0,-31.0,None,success,
2025-12-01,invast,トライオートFX,1.0,29.3,-40.3,12月1日（月）,success,
2025-12-01,sbi,SBI FXトレード,None,None,None,None,error,
2025-12-01,traders_light,traderslight,None,None,None,None,error,
2025-12-02,click365_okasan,クリック365,1.0,28.0,-28.0,None,success,
2025-12-02,gmo_click,gmoclick,1.0,31.0,-31.0,None,success,
2025-12-02,invast,トライオートFX,1.0,29.3,-40.3,12月2日（火）,success,
2025-12-02,matsui,MATSUI FX,1.0,29.0,-29.0,None,success,
2025-12-02,sbi,SBI FXトレード,1.0,28.0,-28.0,12月04日,success,
2025-12-03,click365_okasan,クリック365,3.0,26.333333333333332,-26.333333333333332,12/03,success,
2025-12-03,gmo_click,gmoclick,3.0,32.0,-32.0,None,success,
2025-12-03,invast,トライオートFX,3.0,29.3,-40.300000000000004,12月3日（水）,success,
2025-12-03,matsui,MATSUI FX,3.0,29.0,-29.0,None,success,
2025-12-03,sbi,SBI FXトレード,1.0,28.0,-28.0,12月05日,success,
2025-12-04,click365_okasan,クリック365,1.0,29.0,-29.0,12/4,success,
2025-12-04,gmo_click,gmoclick,1.0,32.0,-32.0,None,success,
2025-12-04,invast,トライオートFX,1.0,29.3,-40.3,None,success,
2025-12-04,sbi,SBI FXトレード,3.0,28.0,-28.0,12月08日,success,
2025-12-05,click365_okasan,クリック365,1.0,28.0,-28.0,None,success,
2025-12-05,gmo_click,gmoclick,1.0,32.0,-32.0,12月5日(金),success,
2025-12-05,invast,トライオートFX,1.0,29.3,-40.3,None,success,
2025-12-05,line_fx,linefx,None,None,None,None,error,
2025-12-05,matsui,MATSUI FX,1.0,29.0,-29.0,12/5(金),success,
2025-12-05,sbi,SBI FXトレード,1.0,28.0,-28.0,12月09日,success,
2025-12-06,click365_okasan,クリック365,None,None,None,None,error,
2025-12-06,gmo_click,gmoclick,0.0,0.0,0.0,12月6日(土),success,
2025-12-06,invast,トライオートFX,None,None,None,12月6日（土）,error,
2025-12-06,matsui,MATSUI FX,None,None,None,12/06,error,
2025-12-06,sbi,SBI FXトレード,1.0,28.0,-28.0,None,success,
2025-12-07,click365_okasan,クリック365,None,None,None,None,error,
2025-12-07,gmo_click,gmoclick,0.0,0.0,0.0,None,success,
2025-12-07,invast,トライオートFX,None,None,None,None,error,
2025-12-07,matsui,MATSUI FX,None,None,None,None,error,
2025-12-07,sbi,SBI FXトレード,None,None,None,-,error,
2025-12-07,traders_light,traderslight,None,None,None,None,error,
2025-12-08,central_tanshi,centraltanshi,1.0,30.1,-30.1,2025-12-09,success,
2025-12-08,click365_okasan,クリック365,1.0,29.0,-29.0,None,success,
2025-12-08,gmo_click,gmoclick,1.0,32.0,-32.0,None,success,
2025-12-08,sbi,SBI FXトレード,None,None,None,12月10日,error,
2025-12-09,click365_okasan,クリック365,1.0,29.0,-29.0,None,success,
2025-12-09,gmo_click,gmoclick,1.0,32.0,-32.0,12月9日(火),success,
2025-12-09,invast,トライオートFX,1.0,29.3,-40.3,None,success,
2025-12-09,matsui,MATSUI FX,1.0,29.0,-29.0,12/11,success,
2025-12-09,sbi,SBI FXトレード,1.0,28.0,-28.0,12月11日,success,
