target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-08-03,gaitame,AUD/JPY,外為どっとコム,1,104.0,-124.0,None,success,2026/08/03
2026-08-03,gmo_click,AUD/JPY,GMOクリック証券,1,105.0,-105.0,None,success,2026/08/03
2026-08-03,hirose,AUD/JPY,ヒロセ通商,1,105.0,-120.0,None,success,2026/08/03
2026-08-03,traders_light,AUD/JPY,LIGHT FX,1,106.0,-106.0,None,success,2026/08/03
2026-08-03,traders_light_light,AUD/JPY,LIGHT FX（LIGHT）,1,106.0,-106.0,None,success,2026/08/03
2026-08-03,traders_min,AUD/JPY,みんなのFX,1,105.0,-105.0,None,success,2026/08/03
2026-08-03,traders_min_light,AUD/JPY,みんなのFX（LIGHT）,1,105.0,-105.0,None,success,2026/08/03
2026-08-04,gaitame,AUD/JPY,外為どっとコム,1,96.0,-111.0,None,success,2026/08/04
2026-08-04,gmo_click,AUD/JPY,GMOクリック証券,1,96.0,-96.0,None,success,2026/08/04
2026-08-04,hirose,AUD/JPY,ヒロセ通商,1,101.0,-116.0,None,success,2026/08/04
2026-08-04,sbi,AUD/JPY,SBI FXトレード,1,101.0,-111.0,None,success,2026/08/04
2026-08-04,traders_light,AUD/JPY,LIGHT FX,1,101.0,-101.0,None,success,2026/08/04
2026-08-04,traders_light_light,AUD/JPY,LIGHT FX（LIGHT）,1,101.0,-101.0,None,success,2026/08/04
2026-08-04,traders_min,AUD/JPY,みんなのFX,1,100.0,-100.0,None,success,2026/08/04
2026-08-04,traders_min_light,AUD/JPY,みんなのFX（LIGHT）,1,100.0,-100.0,None,success,2026/08/04
2026-08-05,gaitame,AUD/JPY,外為どっとコム,3,95.0,-110.0,None,success,2026/08/05
2026-08-05,gmo_click,AUD/JPY,GMOクリック証券,3,99.0,-99.0,None,success,2026/08/05
2026-08-05,hirose,AUD/JPY,ヒロセ通商,3,100.0,-115.0,None,success,2026/08/05
2026-08-05,sbi,AUD/JPY,SBI FXトレード,1,99.0,-109.0,None,success,2026/08/05
