target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-08-03,gaitame,CHF/JPY,外為どっとコム,1,-40.0,20.0,None,success,2026/08/03
2026-08-03,gmo_click,CHF/JPY,GMOクリック証券,1,-33.0,33.0,None,success,2026/08/03
2026-08-03,hirose,CHF/JPY,ヒロセ通商,1,-65.0,45.0,None,success,2026/08/03
2026-08-03,matsui,CHF/JPY,MATSUI FX,1,-72.0,42.0,None,success,2026/08/03
2026-08-04,gaitame,CHF/JPY,外為どっとコム,1,-40.0,20.0,None,success,2026/08/04
2026-08-04,gmo_click,CHF/JPY,GMOクリック証券,1,-36.0,36.0,None,success,2026/08/04
2026-08-04,hirose,CHF/JPY,ヒロセ通商,1,-65.0,45.0,None,success,2026/08/04
2026-08-04,matsui,CHF/JPY,MATSUI FX,1,-78.0,48.0,None,success,2026/08/04
2026-08-04,sbi,CHF/JPY,SBI FXトレード,1,-61.0,51.0,None,success,2026/08/04
2026-08-05,gaitame,CHF/JPY,外為どっとコム,3,-40.0,20.0,None,success,2026/08/05
2026-08-05,gmo_click,CHF/JPY,GMOクリック証券,3,-36.0,36.0,None,success,2026/08/05
2026-08-05,hirose,CHF/JPY,ヒロセ通商,3,-65.0,45.0,None,success,2026/08/05
2026-08-05,matsui,CHF/JPY,MATSUI FX,3,-78.0,48.0,None,success,2026/08/05
2026-08-05,sbi,CHF/JPY,SBI FXトレード,1,-61.0,51.0,None,success,2026/08/05
2026-08-06,gaitame,CHF/JPY,外為どっとコム,2,-40.0,20.0,None,success,2026/08/06
2026-08-06,gmo_click,CHF/JPY,GMOクリック証券,2,-34.0,34.0,None,success,2026/08/06
2026-08-06,hirose,CHF/JPY,ヒロセ通商,2,-65.0,45.0,None,success,2026/08/06
2026-08-06,matsui,CHF/JPY,MATSUI FX,2,-78.0,48.0,None,success,2026/08/06
2026-08-06,sbi,CHF/JPY,SBI FXトレード,3,-63.0,53.0,None,success,2026/08/06
2026-08-07,gaitame,CHF/JPY,外為どっとコム,1,-40.0,20.0,None,success,2026/08/07
2026-08-07,gmo_click,CHF/JPY,GMOクリック証券,1,-31.0,31.0,None,success,2026/08/07
2026-08-07,hirose,CHF/JPY,ヒロセ通商,1,-65.0,45.0,None,success,2026/08/07
2026-08-07,matsui,CHF/JPY,MATSUI FX,1,-78.0,48.0,None,success,2026/08/07
2026-08-07,sbi,CHF/JPY,SBI FXトレード,2,-63.0,53.0,None,success,2026/08/07
2026-08-11,gaitame,CHF/JPY,外為どっとコム,1,-40.0,20.0,None,success,2026/08/11
2026-08-11,gmo_click,CHF/JPY,GMOクリック証券,1,-31.0,31.0,None,success,2026/08/11
2026-08-11,hirose,CHF/JPY,ヒロセ通商,1,-65.0,45.0,None,success,2026/08/11
2026-08-11,matsui,CHF/JPY,MATSUI FX,1,-78.0,48.0,None,success,2026/08/11
2026-08-11,traders_light,CHF/JPY,LIGHT FX,1,-5.0,5.0,None,success,2026/08/11
2026-08-11,traders_min,CHF/JPY,みんなのFX,1,-5.0,5.0,None,success,2026/08/11
2026-08-12,gaitame,CHF/JPY,外為どっとコム,3,-40.0,20.0,None,success,2026/08/12
2026-08-12,gmo_click,CHF/JPY,GMOクリック証券,3,-29.0,29.0,None,success,2026/08/12
2026-08-12,hirose,CHF/JPY,ヒロセ通商,3,-65.0,45.0,None,success,2026/08/12
2026-08-12,matsui,CHF/JPY,MATSUI FX,3,-78.0,48.0,None,success,2026/08/12
2026-08-12,sbi,CHF/JPY,SBI FXトレード,1,-58.0,48.0,None,success,2026/08/12
2026-08-12,traders_light,CHF/JPY,LIGHT FX,3,-5.0,5.0,None,success,2026/08/12
2026-08-12,traders_min,CHF/JPY,みんなのFX,3,-5.0,5.0,None,success,2026/08/12
2026-08-13,gaitame,CHF/JPY,外為どっとコム,1,-40.0,20.0,None,success,2026/08/13
2026-08-13,gmo_click,CHF/JPY,GMOクリック証券,1,-32.0,32.0,None,success,2026/08/13
2026-08-13,hirose,CHF/JPY,ヒロセ通商,1,-65.0,45.0,None,success,2026/08/13
2026-08-13,matsui,CHF/JPY,MATSUI FX,1,-78.0,48.0,None,success,2026/08/13
