target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-07-22,gaitame,CHF/TRY,外為どっとコム,3,-2176.3,1658.3,,success,
2026-07-22,traders_light,CHF/TRY,LIGHT FX,3,-1413.5,1397.6,,success,
2026-07-22,traders_min,CHF/TRY,みんなのFX,3,-1413.5,1397.6,,success,
2026-07-23,gaitame,CHF/TRY,外為どっとコム,1,-2245.0,1727.0,,success,
2026-07-23,traders_light,CHF/TRY,LIGHT FX,1,-1360.3,1344.9,,success,
2026-07-23,traders_min,CHF/TRY,みんなのFX,1,-1360.3,1345.0,,success,
2026-07-24,gaitame,CHF/TRY,外為どっとコム,1,-2332.0,1813.0,,success,
2026-07-24,traders_light,CHF/TRY,LIGHT FX,1,-1369.7,1346.5,,success,
2026-07-24,traders_min,CHF/TRY,みんなのFX,1,-1369.7,1346.6,,success,
2026-07-27,gaitame,CHF/TRY,外為どっとコム,1,-2330.0,1812.0,,success,
2026-07-27,traders_light,CHF/TRY,LIGHT FX,1,-1359.1,1343.8,,success,
2026-07-27,traders_min,CHF/TRY,みんなのFX,1,-1359.2,1343.8,,success,
2026-07-28,gaitame,CHF/TRY,外為どっとコム,1,-2332.0,1813.0,,success,
2026-07-28,traders_light,CHF/TRY,LIGHT FX,1,-1359.0,1343.6,,success,
2026-07-28,traders_min,CHF/TRY,みんなのFX,1,-1359.2,1343.8,,success,
2026-07-29,gaitame,CHF/TRY,外為どっとコム,3,-2325.3,1808.3,,success,
2026-07-29,traders_light,CHF/TRY,LIGHT FX,3,-1355.4,1340.1,,success,
2026-07-29,traders_min,CHF/TRY,みんなのFX,3,-1355.6,1340.3,,success,
2026-07-30,gaitame,CHF/TRY,外為どっとコム,1,-2269.0,1765.0,,success,
2026-07-30,traders_light,CHF/TRY,LIGHT FX,1,-1277.1,1262.3,,success,
2026-07-30,traders_min,CHF/TRY,みんなのFX,1,-1277.3,1262.5,,success,
2026-07-31,gaitame,CHF/TRY,外為どっとコム,1,-2229.0,1734.0,,success,
2026-07-31,traders_light,CHF/TRY,LIGHT FX,1,-1255.8,1250.4,,success,
2026-07-31,traders_min,CHF/TRY,みんなのFX,1,-1256.1,1250.8,,success,
2026-08-03,gaitame,CHF/TRY,外為どっとコム,1,-2199.0,1703.0,,success,
2026-08-03,traders_light,CHF/TRY,LIGHT FX,1,-1256.7,1241.9,,success,
2026-08-03,traders_min,CHF/TRY,みんなのFX,1,-1256.9,1242.1,,success,
2026-08-04,gaitame,CHF/TRY,外為どっとコム,1,-2156.0,1659.0,,success,
2026-08-04,traders_light,CHF/TRY,LIGHT FX,1,-1260.8,1245.9,,success,
2026-08-04,traders_min,CHF/TRY,みんなのFX,1,-1260.7,1245.8,,success,
2026-08-05,gaitame,CHF/TRY,外為どっとコム,3,-2124.7,1626.7,,success,
2026-08-05,traders_light,CHF/TRY,LIGHT FX,3,-1203.4,1189.3,,success,
2026-08-05,traders_min,CHF/TRY,みんなのFX,3,-1203.6,1189.5,,success,
2026-08-06,gaitame,CHF/TRY,外為どっとコム,1,-2111.0,1612.0,,success,
2026-08-06,traders_light,CHF/TRY,LIGHT FX,1,-1005.8,994.0,,success,
2026-08-06,traders_min,CHF/TRY,みんなのFX,1,-1006.0,994.2,,success,
2026-08-07,gaitame,CHF/TRY,外為どっとコム,1,-2101.0,1605.0,,success,
2026-08-07,traders_light,CHF/TRY,LIGHT FX,1,-996.7,992.4,,success,
2026-08-07,traders_min,CHF/TRY,みんなのFX,1,-996.7,992.3,,success,
2026-08-10,gaitame,CHF/TRY,外為どっとコム,1,-2113.0,1614.0,,success,
2026-08-10,traders_light,CHF/TRY,LIGHT FX,1,-1009.5,997.6,,success,
2026-08-10,traders_min,CHF/TRY,みんなのFX,1,-1009.6,997.8,,success,
2026-08-11,gaitame,CHF/TRY,外為どっとコム,1,-2117.0,1616.0,,success,
2026-08-11,traders_light,CHF/TRY,LIGHT FX,1,-1009.8,998.0,,success,
2026-08-11,traders_min,CHF/TRY,みんなのFX,1,-1009.9,998.1,,success,
2026-08-12,gaitame,CHF/TRY,外為どっとコム,3,-2118.7,1618.3,,success,
2026-08-12,traders_light,CHF/TRY,LIGHT FX,3,-1009.9,998.2,,success,
2026-08-12,traders_min,CHF/TRY,みんなのFX,3,-1010.2,998.4,,success,
2026-08-13,gaitame,CHF/TRY,外為どっとコム,1,-2115.0,1616.0,,success,
2026-08-13,traders_light,CHF/TRY,LIGHT FX,1,-1008.6,996.7,,success,
2026-08-13,traders_min,CHF/TRY,みんなのFX,1,-1008.7,996.9,,success,
2026-08-14,gaitame,CHF/TRY,外為どっとコム,1,-2110.0,1612.0,,success,
2026-08-14,traders_light,CHF/TRY,LIGHT FX,1,-1006.7,994.9,,success,
2026-08-14,traders_min,CHF/TRY,みんなのFX,1,-1006.9,995.1,,success,
2026-08-17,gaitame,CHF/TRY,外為どっとコム,1,-2213.0,1713.0,,success,
2026-08-17,traders_light,CHF/TRY,LIGHT FX,1,-1007.2,995.4,,success,
2026-08-17,traders_min,CHF/TRY,みんなのFX,1,-1007.2,995.4,,success,
2026-08-18,gaitame,CHF/TRY,外為どっとコム,1,-2215.0,1715.0,,success,
