target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-08-03,dmm,EUR/JPY,DMM FX,1.0,77.0,-80.0,None,success,2026/08/03
2026-08-03,gaitame,EUR/JPY,外為どっとコム,1,63.0,-83.0,None,success,2026/08/03
2026-08-03,gmo_click,EUR/JPY,GMOクリック証券,1,80.0,-80.0,None,success,2026/08/03
2026-08-03,hirose,EUR/JPY,ヒロセ通商,1,76.0,-96.0,None,success,2026/08/03
2026-08-04,dmm,EUR/JPY,DMM FX,1.0,77.0,-80.0,None,success,2026/08/04
2026-08-04,gaitame,EUR/JPY,外為どっとコム,1,60.0,-80.0,None,success,2026/08/04
2026-08-04,gmo_click,EUR/JPY,GMOクリック証券,1,80.0,-80.0,None,success,2026/08/04
2026-08-04,hirose,EUR/JPY,ヒロセ通商,1,76.0,-96.0,None,success,2026/08/04
2026-08-04,sbi,EUR/JPY,SBI FXトレード,1,60.0,-70.0,None,success,2026/08/04
2026-08-05,dmm,EUR/JPY,DMM FX,1.0,72.0,-75.0,None,success,2026/08/05
2026-08-05,gaitame,EUR/JPY,外為どっとコム,3,61.0,-81.0,None,success,2026/08/05
2026-08-05,gmo_click,EUR/JPY,GMOクリック証券,3,75.0,-75.0,None,success,2026/08/05
2026-08-05,hirose,EUR/JPY,ヒロセ通商,3,76.0,-96.0,None,success,2026/08/05
2026-08-05,sbi,EUR/JPY,SBI FXトレード,1,61.0,-71.0,None,success,2026/08/05
2026-08-06,dmm,EUR/JPY,DMM FX,3.0,72.0,-75.0,None,success,2026/08/06
2026-08-06,gaitame,EUR/JPY,外為どっとコム,2,63.0,-83.0,None,success,2026/08/06
2026-08-06,gmo_click,EUR/JPY,GMOクリック証券,2,75.0,-75.0,None,success,2026/08/06
2026-08-06,hirose,EUR/JPY,ヒロセ通商,2,75.0,-95.0,None,success,2026/08/06
2026-08-06,sbi,EUR/JPY,SBI FXトレード,3,63.0,-73.0,None,success,2026/08/06
2026-08-07,dmm,EUR/JPY,DMM FX,2.0,72.0,-75.0,None,success,2026/08/07
2026-08-07,gaitame,EUR/JPY,外為どっとコム,1,63.0,-83.0,None,success,2026/08/07
2026-08-07,gmo_click,EUR/JPY,GMOクリック証券,1,75.0,-75.0,None,success,2026/08/07
2026-08-07,hirose,EUR/JPY,ヒロセ通商,1,75.0,-95.0,None,success,2026/08/07
2026-08-07,sbi,EUR/JPY,SBI FXトレード,2,63.0,-73.0,None,success,2026/08/07
2026-08-10,dmm,EUR/JPY,DMM FX,1.0,72.0,-75.0,None,success,2026/08/10
2026-08-11,gaitame,EUR/JPY,外為どっとコム,1,63.0,-83.0,None,success,2026/08/11
