target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-04-10,gaitame,EUR/USD,外為どっとコム,1,-103.0,71.0,,success,
2026-04-10,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
2026-04-10,gmo_click,EUR/USD,GMOクリック証券,1,-72.0,72.0,,success,
2026-04-10,hirose,EUR/USD,ヒロセ通商,1,-101.8,81.1,,success,
2026-04-10,invast,EUR/USD,トライオートFX,1,-100.0,40.0,,success,
2026-04-10,jfx,EUR/USD,JFX,1,-101.0,81.0,,success,
2026-04-13,gaitame,EUR/USD,外為どっとコム,1,-103.0,71.0,,success,
2026-04-13,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
2026-04-13,gmo_click,EUR/USD,GMOクリック証券,1,-73.0,73.0,,success,
2026-04-13,hirose,EUR/USD,ヒロセ通商,1,-101.8,81.1,,success,
2026-04-13,jfx,EUR/USD,JFX,1,-101.0,81.0,,success,
2026-04-14,central_tanshi,EUR/USD,セントラル短資FX,1,-89.0,73.1,,success,
2026-04-14,dmm,EUR/USD,DMM FX,1,-82.0,79.0,,success,
2026-04-14,gaitame,EUR/USD,外為どっとコム,1,-105.0,73.0,,success,
2026-04-14,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
2026-04-14,gmo_click,EUR/USD,GMOクリック証券,1,-78.0,78.0,,success,
2026-04-14,hirose,EUR/USD,ヒロセ通商,1,-102.0,81.2,,success,
2026-04-14,jfx,EUR/USD,JFX,1,-102.0,81.0,,success,
2026-04-14,sbi,EUR/USD,SBI FXトレード,1,-89.0,84.0,,success,
2026-04-14,traders_light,EUR/USD,LIGHT FX,1,-81.0,80.9,,success,
2026-04-15,central_tanshi,EUR/USD,セントラル短資FX,3,-89.03,73.13,,success,
2026-04-15,dmm,EUR/USD,DMM FX,1,-82.0,79.0,,success,
2026-04-15,gaitame,EUR/USD,外為どっとコム,1,-104.0,73.0,,success,
2026-04-15,gmo,EUR/USD,GMO外貨,3,-77.0,77.0,,success,
2026-04-15,gmo_click,EUR/USD,GMOクリック証券,1,-78.0,78.0,,success,
2026-04-15,hirose,EUR/USD,ヒロセ通商,1,-102.0,81.3,,success,
2026-04-15,jfx,EUR/USD,JFX,1,-101.0,80.0,,success,
2026-04-15,sbi,EUR/USD,SBI FXトレード,1,-89.0,84.0,,success,
2026-04-15,traders_light,EUR/USD,LIGHT FX,3,-81.1,81.07,,success,
2026-04-16,central_tanshi,EUR/USD,セントラル短資FX,1,-88.9,73.0,,success,
2026-04-16,dmm,EUR/USD,DMM FX,3,-81.0,78.0,,success,
2026-04-16,gaitame,EUR/USD,外為どっとコム,3,-108.0,76.0,,success,
2026-04-16,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
2026-04-16,gmo_click,EUR/USD,GMOクリック証券,1,-78.0,78.0,,success,
2026-04-16,hirose,EUR/USD,ヒロセ通商,3,-101.63,81.0,,success,
2026-04-16,invast,EUR/USD,トライオートFX,1,-100.0,40.0,,success,
2026-04-16,jfx,EUR/USD,JFX,3,-101.67,81.0,,success,
2026-04-16,sbi,EUR/USD,SBI FXトレード,3,-89.0,84.0,,success,
2026-04-16,traders_light,EUR/USD,LIGHT FX,1,-81.2,81.1,,success,
2026-04-17,dmm,EUR/USD,DMM FX,1,-81.0,78.0,,success,
2026-04-17,gaitame,EUR/USD,外為どっとコム,1,-108.0,76.0,,success,
2026-04-17,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
2026-04-17,gmo_click,EUR/USD,GMOクリック証券,1,-78.0,78.0,,success,
2026-04-17,hirose,EUR/USD,ヒロセ通商,1,-101.8,81.1,,success,
2026-04-17,invast,EUR/USD,トライオートFX,1,-100.0,40.0,,success,
2026-04-17,jfx,EUR/USD,JFX,1,-101.0,81.0,,success,
2026-04-17,sbi,EUR/USD,SBI FXトレード,1,-89.0,84.0,,success,
2026-04-17,traders_light,EUR/USD,LIGHT FX,1,-80.9,80.8,,success,
2026-04-20,central_tanshi,EUR/USD,セントラル短資FX,1,-88.9,73.0,,success,
2026-04-20,dmm,EUR/USD,DMM FX,1,-80.0,77.0,,success,
2026-04-20,gaitame,EUR/USD,外為どっとコム,1,-109.0,77.0,,success,
2026-04-20,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
2026-04-20,gmo_click,EUR/USD,GMOクリック証券,1,-78.0,78.0,,success,
2026-04-20,hirose,EUR/USD,ヒロセ通商,1,-101.9,81.2,,success,
2026-04-20,invast,EUR/USD,トライオートFX,1,-100.0,40.0,,success,
2026-04-20,jfx,EUR/USD,JFX,1,-101.0,80.0,,success,
2026-04-20,traders_light,EUR/USD,LIGHT FX,1,-81.1,81.0,,success,
2026-04-21,gmo_click,EUR/USD,GMOクリック証券,1,-73.0,73.0,,success,
2026-04-21,dmm,EUR/USD,DMM FX,1,-80.0,77.0,,success,
2026-04-21,sbi,EUR/USD,SBI FXトレード,1,-89.0,84.0,,success,
2026-04-21,traders_light,EUR/USD,LIGHT FX,1,-81.3,81.2,,success,
2026-04-21,central_tanshi,EUR/USD,セントラル短資FX,1,-88.9,73.0,,success,
2026-04-21,hirose,EUR/USD,ヒロセ通商,1,-101.5,80.9,,success,
2026-04-21,jfx,EUR/USD,JFX,1,-101.0,81.0,,success,
2026-04-21,gaitame,EUR/USD,外為どっとコム,1,-109.0,77.0,,success,
2026-04-21,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
2026-04-22,dmm,EUR/USD,DMM FX,1,-80.0,77.0,,success,
2026-04-22,sbi,EUR/USD,SBI FXトレード,1,-89.0,84.0,,success,
2026-04-22,traders_light,EUR/USD,LIGHT FX,3,-81.37,81.33,,success,
2026-04-22,central_tanshi,EUR/USD,セントラル短資FX,3,-92.43,76.5,,success,
2026-04-22,gmo_click,EUR/USD,GMOクリック証券,3,-73.0,73.0,,success,
2026-04-22,hirose,EUR/USD,ヒロセ通商,1,-101.6,81.0,,success,
2026-04-22,jfx,EUR/USD,JFX,1,-102.0,81.0,,success,
2026-04-22,gaitame,EUR/USD,外為どっとコム,1,-108.0,76.0,,success,
2026-04-22,gmo,EUR/USD,GMO外貨,3,-77.0,77.0,,success,
2026-04-23,dmm,EUR/USD,DMM FX,3,-80.0,77.0,,success,
2026-04-23,sbi,EUR/USD,SBI FXトレード,3,-89.0,84.0,,success,
2026-04-23,traders_light,EUR/USD,LIGHT FX,1,-81.5,81.4,,success,
2026-04-23,central_tanshi,EUR/USD,セントラル短資FX,1,-92.5,76.5,,success,
2026-04-23,gmo_click,EUR/USD,GMOクリック証券,1,-73.0,73.0,,success,
2026-04-23,hirose,EUR/USD,ヒロセ通商,3,-102.03,81.3,,success,
2026-04-23,jfx,EUR/USD,JFX,3,-102.0,81.33,,success,
2026-04-23,gaitame,EUR/USD,外為どっとコム,3,-108.33,76.33,,success,
2026-04-23,invast,EUR/USD,トライオートFX,1,-100.0,40.0,,success,
2026-04-23,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
2026-04-24,dmm,EUR/USD,DMM FX,1,-80.0,77.0,,success,
2026-04-24,sbi,EUR/USD,SBI FXトレード,1,-89.0,84.0,,success,
2026-04-24,traders_light,EUR/USD,LIGHT FX,1,-81.3,81.2,,success,
2026-04-24,gmo_click,EUR/USD,GMOクリック証券,1,-73.0,73.0,,success,
2026-04-24,hirose,EUR/USD,ヒロセ通商,1,-102.1,81.3,,success,
2026-04-24,jfx,EUR/USD,JFX,1,-102.0,81.0,,success,
2026-04-24,gaitame,EUR/USD,外為どっとコム,1,-108.0,76.0,,success,
2026-04-24,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
2026-04-24,invast,EUR/USD,トライオートFX,1,-100.0,40.0,,success,
2026-04-27,dmm,EUR/USD,DMM FX,1,-79.0,76.0,,success,
2026-04-27,traders_light,EUR/USD,LIGHT FX,1,-81.3,81.2,,success,
2026-04-27,central_tanshi,EUR/USD,セントラル短資FX,1,-92.3,76.4,,success,
2026-04-27,gmo_click,EUR/USD,GMOクリック証券,1,-73.0,73.0,,success,
2026-04-27,hirose,EUR/USD,ヒロセ通商,1,-102.2,81.5,,success,
2026-04-27,jfx,EUR/USD,JFX,1,-102.0,81.0,,success,
2026-04-27,gaitame,EUR/USD,外為どっとコム,1,-108.0,76.0,,success,
2026-04-27,gmo,EUR/USD,GMO外貨,1,-77.0,77.0,,success,
