target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-01-02,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-01-05,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-01-06,gmo_click,GBP/USD,GMOクリック証券,1,3.0,-3.0,,success,
2026-01-07,gmo_click,GBP/USD,GMOクリック証券,3,12.0,-12.0,,success,
2026-01-08,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-01-09,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-01-12,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-01-13,gmo_click,GBP/USD,GMOクリック証券,1,3.0,-3.0,,success,
2026-01-14,gmo_click,GBP/USD,GMOクリック証券,4,8.0,-8.0,,success,
2026-01-16,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-01-19,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-01-20,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-01-21,gmo_click,GBP/USD,GMOクリック証券,3,6.0,-6.0,,success,
2026-01-22,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-01-23,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-01-26,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-01-27,gmo_click,GBP/USD,GMOクリック証券,1,6.0,-6.0,,success,
2026-01-28,gmo_click,GBP/USD,GMOクリック証券,3,21.0,-21.0,,success,
2026-01-29,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-01-30,gmo_click,GBP/USD,GMOクリック証券,1,5.0,-5.0,,success,
2026-02-02,gmo_click,GBP/USD,GMOクリック証券,1,6.0,-6.0,,success,
2026-02-03,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-02-04,gmo_click,GBP/USD,GMOクリック証券,3,9.0,-9.0,,success,
2026-02-05,gmo_click,GBP/USD,GMOクリック証券,1,3.0,-3.0,,success,
2026-02-06,gmo_click,GBP/USD,GMOクリック証券,1,3.0,-3.0,,success,
2026-02-09,gmo_click,GBP/USD,GMOクリック証券,1,3.0,-3.0,,success,
2026-02-10,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-02-11,gmo_click,GBP/USD,GMOクリック証券,4,16.0,-16.0,,success,
2026-02-13,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-02-16,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-02-17,gmo_click,GBP/USD,GMOクリック証券,1,4.0,-4.0,,success,
2026-02-18,gmo_click,GBP/USD,GMOクリック証券,3,12.0,-12.0,,success,
2026-02-19,gmo_click,GBP/USD,GMOクリック証券,1,3.0,-3.0,,success,
2026-02-20,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-02-23,gmo_click,GBP/USD,GMOクリック証券,1,-1.0,1.0,,success,
2026-02-24,gmo_click,GBP/USD,GMOクリック証券,1,-1.0,1.0,,success,
2026-02-25,gmo_click,GBP/USD,GMOクリック証券,3,-3.0,3.0,,success,
2026-02-26,gmo_click,GBP/USD,GMOクリック証券,1,-1.0,1.0,,success,
2026-02-27,gmo_click,GBP/USD,GMOクリック証券,1,-1.0,1.0,,success,
2026-03-02,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-03-03,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-03-04,gmo_click,GBP/USD,GMOクリック証券,3,-6.0,6.0,,success,
2026-03-05,gmo_click,GBP/USD,GMOクリック証券,1,-1.0,1.0,,success,
2026-03-06,gmo_click,GBP/USD,GMOクリック証券,1,-1.0,1.0,,success,
2026-03-09,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-03-10,gmo_click,GBP/USD,GMOクリック証券,1,-5.0,5.0,,success,
2026-03-11,gmo_click,GBP/USD,GMOクリック証券,3,-18.0,18.0,,success,
2026-03-12,gmo_click,GBP/USD,GMOクリック証券,1,-6.0,6.0,,success,
2026-03-13,gmo_click,GBP/USD,GMOクリック証券,1,-2.0,2.0,,success,
2026-03-16,gmo_click,GBP/USD,GMOクリック証券,1,-2.0,2.0,,success,
2026-03-17,gmo_click,GBP/USD,GMOクリック証券,1,-3.0,3.0,,success,
2026-03-18,gmo_click,GBP/USD,GMOクリック証券,3,-3.0,3.0,,success,
2026-03-19,gmo_click,GBP/USD,GMOクリック証券,1,-1.0,1.0,,success,
2026-03-20,gmo_click,GBP/USD,GMOクリック証券,1,-3.0,3.0,,success,
2026-03-23,gmo_click,GBP/USD,GMOクリック証券,1,2.0,-2.0,,success,
2026-03-24,gmo_click,GBP/USD,GMOクリック証券,1,-3.0,3.0,,success,
2026-03-25,gmo_click,GBP/USD,GMOクリック証券,3,6.0,-6.0,,success,
2026-03-26,gmo_click,GBP/USD,GMOクリック証券,1,-3.0,3.0,,success,
2026-03-27,gmo_click,GBP/USD,GMOクリック証券,1,-4.0,4.0,,success,
2026-03-30,gmo_click,GBP/USD,GMOクリック証券,1,-3.0,3.0,,success,
2026-03-31,gmo_click,GBP/USD,GMOクリック証券,5,-5.0,5.0,,success,
2026-04-01,gmo_click,GBP/USD,GMOクリック証券,1,-1.0,1.0,,success,
2026-04-06,gmo_click,GBP/USD,GMOクリック証券,1,-5.0,5.0,,success,
