target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-04-09,central_tanshi,HUF/JPY,セントラル短資FX,1.0,None,None,None,error,None
2026-04-09,dmm,HUF/JPY,dmm,1.0,None,None,None,error,None
2026-04-09,gmo,HUF/JPY,gmo,1.0,None,None,None,error,None
2026-04-09,gmo_click,HUF/JPY,GMOクリック証券,1.0,None,None,None,error,None
2026-04-09,jfx,HUF/JPY,jfx,1.0,None,None,None,error,None
2026-04-10,central_tanshi,HUF/JPY,セントラル短資FX,1.0,None,None,None,error,None
2026-04-10,click365_okasan,HUF/JPY,クリック365,1.0,None,None,None,error,None
2026-04-10,dmm,HUF/JPY,dmm,1.0,None,None,None,error,None
2026-04-10,gaitame,HUF/JPY,外為どっとコム,1.0,None,None,None,error,None
2026-04-10,gmo,HUF/JPY,gmo,1.0,None,None,None,error,None
2026-04-10,gmo_click,HUF/JPY,GMOクリック証券,1.0,13.5,-13.5,None,success,2026/04/10
2026-04-10,hirose,HUF/JPY,ヒロセ通商,1.0,None,None,None,error,2026/04/10
2026-04-10,invast,HUF/JPY,invast,1.0,None,None,None,error,None
2026-04-10,jfx,HUF/JPY,jfx,1.0,None,None,None,error,None
2026-04-10,matsui,HUF/JPY,matsui,1.0,13.0,-13.0,None,success,2026/04/09
2026-04-10,saxo,HUF/JPY,saxo,1.0,None,None,None,error,None
2026-04-10,sbi,HUF/JPY,sbi,1.0,24.0,-26.0,04月14日,success,2026/04/10
2026-04-10,traders_light,HUF/JPY,traders_light,1.0,21.0,-21.0,None,success,2026/04/10
2026-04-10,traders_light_light,HUF/JPY,traders_light_light,1.0,21.0,-21.0,None,success,2026/04/10
2026-04-10,traders_min,HUF/JPY,traders_min,1.0,7.0,-7.0,None,success,2026/04/10
2026-04-10,traders_min_light,HUF/JPY,みんなのFX（LIGHT）,1.0,None,None,None,error,2026/04/10
2026-04-13,central_tanshi,HUF/JPY,セントラル短資FX,1.0,0.8,-0.8,None,success,2026/04/13
2026-04-13,dmm,HUF/JPY,dmm,1.0,None,None,None,error,None
2026-04-13,gaitame,HUF/JPY,外為どっとコム,1.0,None,None,None,error,None
2026-04-13,gmo_click,HUF/JPY,GMOクリック証券,1.0,13.5,-13.5,None,success,2026/04/13
