target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2026-07-22,gaitame,PLN/JPY,外為どっとコム,3,30.0,-40.0,None,success,2026/07/22
2026-07-22,gmo_click,PLN/JPY,GMOクリック証券,3,70.0,-70.0,None,success,2026/07/22
2026-07-22,hirose,PLN/JPY,ヒロセ通商,3,33.0,-40.0,None,success,2026/07/22
2026-07-22,matsui,PLN/JPY,MATSUI FX,3,27.0,-37.0,None,success,2026/07/22
2026-07-22,traders_light,PLN/JPY,LIGHT FX,3,75.0,-75.0,None,success,2026/07/22
2026-07-22,traders_min,PLN/JPY,みんなのFX,3,75.0,-75.0,None,success,2026/07/22
2026-07-23,gaitame,PLN/JPY,外為どっとコム,1,30.0,-40.0,None,success,2026/07/23
2026-07-23,gmo_click,PLN/JPY,GMOクリック証券,1,70.0,-70.0,None,success,2026/07/23
2026-07-23,hirose,PLN/JPY,ヒロセ通商,1,33.0,-40.0,None,success,2026/07/23
2026-07-23,matsui,PLN/JPY,MATSUI FX,1,27.0,-37.0,None,success,2026/07/23
2026-07-23,traders_light,PLN/JPY,LIGHT FX,1,75.0,-75.0,None,success,2026/07/23
2026-07-23,traders_min,PLN/JPY,みんなのFX,1,75.0,-75.0,None,success,2026/07/23
2026-07-24,gaitame,PLN/JPY,外為どっとコム,1,30.0,-40.0,None,success,2026/07/24
2026-07-24,gmo_click,PLN/JPY,GMOクリック証券,1,70.0,-70.0,None,success,2026/07/24
2026-07-24,hirose,PLN/JPY,ヒロセ通商,1,33.0,-40.0,None,success,2026/07/24
2026-07-24,matsui,PLN/JPY,MATSUI FX,1,27.0,-37.0,None,success,2026/07/24
2026-07-24,traders_light,PLN/JPY,LIGHT FX,1,75.0,-75.0,None,success,2026/07/24
2026-07-24,traders_min,PLN/JPY,みんなのFX,1,75.0,-75.0,None,success,2026/07/24
2026-07-27,gaitame,PLN/JPY,外為どっとコム,1,30.0,-40.0,None,success,2026/07/27
2026-07-27,gmo_click,PLN/JPY,GMOクリック証券,1,70.0,-70.0,None,success,2026/07/27
2026-07-27,hirose,PLN/JPY,ヒロセ通商,1,30.0,-37.0,None,success,2026/07/27
2026-07-27,matsui,PLN/JPY,MATSUI FX,1,27.0,-37.0,None,success,2026/07/27
2026-07-27,traders_light,PLN/JPY,LIGHT FX,1,75.0,-75.0,None,success,2026/07/27
2026-07-27,traders_min,PLN/JPY,みんなのFX,1,75.0,-75.0,None,success,2026/07/27
2026-07-28,gaitame,PLN/JPY,外為どっとコム,1,30.0,-40.0,None,success,2026/07/28
2026-07-28,gmo_click,PLN/JPY,GMOクリック証券,1,70.0,-70.0,None,success,2026/07/28
2026-07-28,hirose,PLN/JPY,ヒロセ通商,1,33.0,-43.0,None,success,2026/07/28
2026-07-28,matsui,PLN/JPY,MATSUI FX,1,34.0,-44.0,None,success,2026/07/28
2026-07-28,traders_light,PLN/JPY,LIGHT FX,1,75.0,-75.0,None,success,2026/07/28
2026-07-28,traders_min,PLN/JPY,みんなのFX,1,75.0,-75.0,None,success,2026/07/28
2026-07-29,gaitame,PLN/JPY,外為どっとコム,3,30.0,-40.0,None,success,2026/07/29
2026-07-29,gmo_click,PLN/JPY,GMOクリック証券,3,70.0,-70.0,None,success,2026/07/29
2026-07-29,hirose,PLN/JPY,ヒロセ通商,3,33.0,-43.0,None,success,2026/07/29
2026-07-29,matsui,PLN/JPY,MATSUI FX,3,34.0,-44.0,None,success,2026/07/29
2026-07-29,traders_light,PLN/JPY,LIGHT FX,3,75.0,-75.0,None,success,2026/07/29
2026-07-29,traders_min,PLN/JPY,みんなのFX,3,75.0,-75.0,None,success,2026/07/29
2026-07-30,gaitame,PLN/JPY,外為どっとコム,1,30.0,-40.0,None,success,2026/07/30
2026-07-30,gmo_click,PLN/JPY,GMOクリック証券,1,70.0,-70.0,None,success,2026/07/30
2026-07-30,hirose,PLN/JPY,ヒロセ通商,1,33.0,-43.0,None,success,2026/07/30
2026-07-30,matsui,PLN/JPY,MATSUI FX,1,34.0,-44.0,None,success,2026/07/30
2026-07-30,traders_light,PLN/JPY,LIGHT FX,1,75.0,-75.0,None,success,2026/07/30
2026-07-30,traders_min,PLN/JPY,みんなのFX,1,75.0,-75.0,None,success,2026/07/30
2026-07-31,gaitame,PLN/JPY,外為どっとコム,1,30.0,-40.0,None,success,2026/07/31
2026-07-31,gmo_click,PLN/JPY,GMOクリック証券,1,70.0,-70.0,None,success,2026/07/31
2026-07-31,hirose,PLN/JPY,ヒロセ通商,1,33.0,-43.0,None,success,2026/07/31
2026-07-31,matsui,PLN/JPY,MATSUI FX,1,34.0,-44.0,None,success,2026/07/31
2026-07-31,traders_light,PLN/JPY,LIGHT FX,1,75.0,-75.0,None,success,2026/07/31
2026-07-31,traders_min,PLN/JPY,みんなのFX,1,75.0,-75.0,None,success,2026/07/31
2026-08-03,gaitame,PLN/JPY,外為どっとコム,1,30.0,-40.0,None,success,2026/08/03
2026-08-03,gmo_click,PLN/JPY,GMOクリック証券,1,70.0,-70.0,None,success,2026/08/03
