target_date,provider_id,currency_pair,name,days,swap_buy,swap_sell,settlement_date,status,actual_date
2025-12-01,centraltanshi,TRY/JPY,centraltanshi,1.0,30.2,-30.2,12/2,success,
2025-12-01,click365okasan,TRY/JPY,クリック365,1.0,27.0,-27.0,None,success,
2025-12-01,gmoclick,TRY/JPY,gmoclick,1.0,31.0,-31.0,None,success,
2025-12-01,invast,TRY/JPY,トライオートFX,1.0,29.3,-40.3,12月1日（月）,success,
2025-12-01,sbi,TRY/JPY,SBI FXトレード,None,None,None,None,error,
2025-12-01,traderslight,TRY/JPY,traderslight,None,None,None,None,error,
2025-12-02,click365okasan,TRY/JPY,クリック365,1.0,28.0,-28.0,None,success,
2025-12-02,gmoclick,TRY/JPY,gmoclick,1.0,31.0,-31.0,None,success,
2025-12-02,invast,TRY/JPY,トライオートFX,1.0,29.3,-40.3,12月2日（火）,success,
2025-12-02,matsui,TRY/JPY,MATSUI FX,1.0,29.0,-29.0,None,success,
2025-12-02,sbi,TRY/JPY,SBI FXトレード,1.0,28.0,-28.0,12月04日,success,
2025-12-03,click365okasan,TRY/JPY,クリック365,3.0,26.333333333333332,-26.333333333333332,12/03,success,
2025-12-03,gmoclick,TRY/JPY,gmoclick,3.0,32.0,-32.0,None,success,
2025-12-03,invast,TRY/JPY,トライオートFX,3.0,29.3,-40.300000000000004,12月3日（水）,success,
2025-12-03,matsui,TRY/JPY,MATSUI FX,3.0,29.0,-29.0,None,success,
2025-12-03,sbi,TRY/JPY,SBI FXトレード,1.0,28.0,-28.0,12月05日,success,
2025-12-04,click365okasan,TRY/JPY,クリック365,1.0,29.0,-29.0,12/4,success,
2025-12-04,gmoclick,TRY/JPY,gmoclick,1.0,32.0,-32.0,None,success,
2025-12-04,invast,TRY/JPY,トライオートFX,1.0,29.3,-40.3,None,success,
2025-12-04,sbi,TRY/JPY,SBI FXトレード,3.0,28.0,-28.0,12月08日,success,
2025-12-05,click365okasan,TRY/JPY,クリック365,1.0,28.0,-28.0,None,success,
2025-12-05,gmoclick,TRY/JPY,gmoclick,1.0,32.0,-32.0,12月5日(金),success,
2025-12-05,invast,TRY/JPY,トライオートFX,1.0,29.3,-40.3,None,success,
2025-12-05,matsui,TRY/JPY,MATSUI FX,1.0,29.0,-29.0,12/5(金),success,
2025-12-05,sbi,TRY/JPY,SBI FXトレード,1.0,28.0,-28.0,12月09日,success,
2025-12-08,centraltanshi,TRY/JPY,centraltanshi,1.0,30.1,-30.1,2025-12-09,success,
2025-12-08,click365okasan,TRY/JPY,クリック365,1.0,29.0,-29.0,None,success,
2025-12-08,gmoclick,TRY/JPY,gmoclick,1.0,32.0,-32.0,None,success,
2025-12-08,sbi,TRY/JPY,SBI FXトレード,None,None,None,12月10日,error,
2025-12-09,click365okasan,TRY/JPY,クリック365,1.0,29.0,-29.0,None,success,
2025-12-09,gmoclick,TRY/JPY,gmoclick,1.0,32.0,-32.0,12月9日(火),success,
2025-12-09,invast,TRY/JPY,トライオートFX,1.0,29.3,-40.3,None,success,
2025-12-09,matsui,TRY/JPY,MATSUI FX,1.0,29.0,-29.0,12/11,success,
2025-12-09,sbi,TRY/JPY,SBI FXトレード,1.0,28.0,-28.0,12月11日,success,
2025-12-10,click365okasan,TRY/JPY,クリック365,3.0,25.666666666666668,-25.666666666666668,None,success,
2025-12-10,gmoclick,TRY/JPY,gmoclick,3.0,33.0,-33.0,None,success,
2025-12-10,invast,TRY/JPY,トライオートFX,3.0,29.3,-40.300000000000004,2025-12-12,success,
